sale_id,customer_id,sale_date,subtotal,gst_amount,total_amount,payment_method,payment_status,amount_paid,amount_due,region,city
50,56005,2024-12-27T18:53:00,1045.22,52.26,1097.48,cash,paid,1097.48,0.0,East,Kolkata
51,63938,2024-12-20T20:43:00,2240.47,112.02,2352.49,card,paid,2352.49,0.0,South,Chennai
52,86995,2025-11-28T19:08:00,1724.11,86.21,1810.32,credit,paid,1810.32,0.0,South,Hyderabad
53,93451,2025-01-01T10:16:00,758.23,37.91,796.14,credit,paid,796.14,0.0,West,Pune
54,10212,2024-11-13T17:16:00,1815.27,160.5,1975.77,credit,paid,1975.77,0.0,East,Bhubaneswar
55,43363,2024-08-22T15:11:00,641.72,50.63,692.35,credit,partial,247.07,445.28,North,Gurgaon
56,95554,2024-07-14T09:18:00,1680.6,136.36,1816.96,cash,paid,1816.96,0.0,West,Mumbai
57,47627,2025-10-18T19:46:00,1171.11,78.32,1249.43,upi,paid,1249.43,0.0,South,Hyderabad
58,42021,2024-01-13T08:37:00,964.31,74.55,1038.86,credit,partial,346.22,692.64,North,Jaipur
59,80865,2025-05-03T11:18:00,775.92,38.8,814.72,upi,paid,814.72,0.0,North,Lucknow
60,14541,2025-04-21T14:49:00,310.77,15.54,326.31,upi,paid,326.31,0.0,North,Lucknow
61,60364,2024-04-10T11:08:00,313.5,56.43,369.93,cash,paid,369.93,0.0,South,Coimbatore
62,34344,2024-03-03T20:55:00,1948.17,97.41,2045.58,credit,partial,641.49,1404.09,West,Mumbai
63,35542,2025-04-25T16:00:00,281.55,14.08,295.63,cash,paid,295.63,0.0,West,Mumbai
64,11813,2025-02-14T11:09:00,1311.63,65.58,1377.21,cash,paid,1377.21,0.0,North,Delhi
65,16501,2025-10-17T20:33:00,1222.14,61.11,1283.25,upi,paid,1283.25,0.0,South,Kochi
66,91638,2024-03-18T20:25:00,558.62,100.55,659.17,upi,paid,659.17,0.0,North,Gurgaon
67,87616,2025-11-29T19:50:00,1584.53,79.23,1663.76,credit,partial,859.53,804.23,North,Lucknow
68,326,2025-02-25T18:20:00,219.97,39.59,259.56,cash,paid,259.56,0.0,West,Surat
69,89877,2025-04-12T11:15:00,702.21,126.4,828.61,upi,paid,828.61,0.0,North,Amritsar
70,23613,2024-12-23T11:17:00,374.57,18.73,393.3,credit,paid,393.3,0.0,North,Noida
71,17671,2025-10-13T20:28:00,777.42,38.87,816.29,credit,paid,816.29,0.0,South,Chennai
72,43558,2025-06-30T09:38:00,1229.72,107.87,1337.59,credit,paid,1337.59,0.0,South,Kochi
73,3312,2024-07-07T18:13:00,2000.0,100.0,2100.0,cash,paid,2100.0,0.0,North,Amritsar
74,2193,2025-12-18T12:41:00,1995.79,99.79,2095.58,cash,paid,2095.58,0.0,West,Pune
75,57553,2024-10-20T13:13:00,1386.66,69.33,1455.99,upi,paid,1455.99,0.0,South,Mysore
76,83277,2024-04-27T13:06:00,2648.36,176.55,2824.91,credit,partial,1529.03,1295.88,North,Jaipur
77,18372,2025-09-17T10:43:00,1740.78,87.04,1827.82,cash,paid,1827.82,0.0,West,Ahmedabad
78,95181,2024-05-23T12:01:00,944.21,131.93,1076.13,credit,paid,1076.13,0.0,South,Coimbatore
79,46580,2024-03-09T19:28:00,1599.06,102.56,1701.62,cash,paid,1701.62,0.0,South,Coimbatore
80,60796,2025-05-10T12:33:00,690.9,34.55,725.45,upi,paid,725.45,0.0,North,Lucknow
81,79450,2025-09-07T10:57:00,2052.48,160.82,2213.3,credit,partial,743.29,1470.01,North,Noida
82,37073,2025-10-05T18:34:00,577.56,28.88,606.44,credit,paid,606.44,0.0,North,Noida
83,13567,2024-10-02T13:57:00,1765.94,88.3,1854.24,cash,paid,1854.24,0.0,North,Gurgaon
84,55299,2025-09-25T13:37:00,738.78,36.94,775.72,cash,paid,775.72,0.0,West,Ahmedabad
85,58350,2024-01-03T12:24:00,1258.24,62.91,1321.15,upi,paid,1321.15,0.0,North,Lucknow
86,1895,2024-08-09T13:12:00,448.61,22.43,471.04,card,paid,471.04,0.0,North,Noida
87,76643,2024-05-09T10:28:00,744.7,37.23,781.94,credit,partial,449.95,331.99,West,Ahmedabad
88,15470,2025-11-16T20:28:00,1884.31,208.3,2092.61,cash,paid,2092.61,0.0,West,Surat
89,33388,2025-01-26T11:08:00,333.44,16.67,350.11,credit,partial,186.73,163.38,West,Ahmedabad
90,92905,2025-08-14T10:44:00,1428.16,71.41,1499.57,credit,partial,807.76,691.81,West,Surat
91,56639,2024-11-18T15:46:00,1078.42,136.94,1215.36,upi,paid,1215.36,0.0,South,Hyderabad
92,13757,2025-12-23T11:58:00,452.16,81.39,533.55,credit,paid,533.55,0.0,South,Coimbatore
93,62416,2025-02-21T15:48:00,598.7,29.94,628.63,credit,paid,628.63,0.0,North,Gurgaon
94,74658,2025-01-31T20:32:00,1867.43,128.19,1995.62,cash,paid,1995.62,0.0,South,Kochi
95,21748,2025-01-01T14:19:00,2891.47,144.57,3036.04,upi,paid,3036.04,0.0,North,Jaipur
96,75224,2025-06-08T11:49:00,1533.96,76.7,1610.66,credit,paid,1610.66,0.0,North,Gurgaon
97,85743,2025-01-16T18:30:00,1588.81,79.44,1668.25,cash,paid,1668.25,0.0,North,Amritsar
98,96066,2025-10-27T16:13:00,2441.79,122.09,2563.88,upi,paid,2563.88,0.0,South,Coimbatore
99,98706,2025-05-24T12:02:00,1301.71,65.09,1366.8,credit,paid,1366.8,0.0,South,Hyderabad
100,16345,2025-01-29T19:27:00,286.57,51.58,338.15,credit,paid,338.15,0.0,East,Bhubaneswar
101,94799,2024-09-14T12:05:00,127.93,23.03,150.96,credit,partial,87.99,62.97,West,Pune
102,29471,2024-01-18T14:36:00,3329.19,376.95,3706.14,credit,partial,2566.39,1139.75,West,Surat
103,89888,2024-03-07T15:45:00,2107.06,195.98,2303.04,credit,paid,2303.04,0.0,North,Chandigarh
104,56673,2024-03-20T08:31:00,396.69,19.83,416.52,credit,partial,256.56,159.96,South,Hyderabad
105,77847,2024-09-20T12:13:00,1678.48,83.92,1762.4,card,paid,1762.4,0.0,East,Bhubaneswar
106,18663,2024-12-07T16:15:00,2934.72,146.74,3081.46,credit,partial,1776.97,1304.49,North,Chandigarh
107,12855,2025-02-12T20:59:00,1447.02,72.35,1519.37,credit,partial,682.02,837.35,South,Bangalore
108,44089,2025-05-30T10:48:00,942.83,148.56,1091.39,credit,partial,348.47,742.92,North,Amritsar
109,11942,2024-02-07T10:50:00,1024.03,51.2,1075.23,credit,paid,1075.23,0.0,West,Ahmedabad
110,6912,2025-12-12T18:28:00,493.65,24.68,518.33,upi,paid,518.33,0.0,North,Gurgaon
111,45018,2024-04-29T12:43:00,2195.25,194.42,2389.67,cash,paid,2389.67,0.0,West,Surat
112,77306,2025-01-09T08:22:00,1957.66,130.06,2087.72,credit,partial,715.45,1372.27,East,Guwahati
113,65389,2024-01-24T13:35:00,1252.46,104.18,1356.64,upi,paid,1356.64,0.0,West,Ahmedabad
114,12463,2024-06-22T17:50:00,1335.15,66.76,1401.91,cash,paid,1401.91,0.0,East,Guwahati
115,32482,2025-09-06T08:46:00,1435.29,71.76,1507.05,upi,paid,1507.05,0.0,South,Hyderabad
116,66659,2025-02-04T15:27:00,383.58,69.04,452.62,cash,paid,452.62,0.0,South,Chennai
117,31577,2025-11-19T18:25:00,722.96,96.38,819.34,cash,paid,819.34,0.0,South,Chennai
118,57781,2024-05-17T21:09:00,1731.97,86.6,1818.57,credit,paid,1818.57,0.0,North,Noida
119,21917,2025-12-02T10:58:00,470.79,23.54,494.33,credit,partial,283.9,210.43,West,Mumbai
120,37259,2025-07-15T11:21:00,190.9,34.36,225.26,credit,paid,225.26,0.0,South,Coimbatore
121,80216,2024-05-20T22:23:00,1772.5,88.62,1861.12,credit,partial,1236.57,624.56,South,Chennai
122,42113,2025-11-05T16:45:00,2251.31,112.57,2363.88,credit,paid,2363.88,0.0,West,Goa
123,77487,2024-04-17T16:11:00,233.0,41.94,274.94,upi,paid,274.94,0.0,South,Coimbatore
124,44486,2024-09-15T18:39:00,489.06,24.45,513.51,card,paid,513.51,0.0,North,Gurgaon
125,22696,2025-11-21T14:44:00,929.76,46.49,976.25,cash,paid,976.25,0.0,West,Surat
126,22610,2024-10-09T19:39:00,1092.25,136.77,1229.02,credit,partial,510.61,718.41,South,Coimbatore
127,75526,2025-11-14T13:55:00,769.33,87.49,856.82,credit,partial,283.32,573.5,West,Ahmedabad
128,94745,2024-04-06T14:44:00,1636.38,142.34,1778.72,upi,paid,1778.72,0.0,South,Chennai
129,91461,2025-12-23T12:10:00,474.63,67.54,542.17,upi,paid,542.17,0.0,South,Coimbatore
130,34029,2025-12-07T19:42:00,268.05,13.4,281.45,credit,paid,281.45,0.0,North,Noida
131,72519,2024-02-03T14:55:00,3758.6,187.93,3946.53,upi,paid,3946.53,0.0,North,Lucknow
132,97738,2024-04-14T10:29:00,448.7,80.77,529.47,credit,paid,529.47,0.0,West,Ahmedabad
133,66066,2025-01-30T08:49:00,122.35,6.12,128.47,cash,paid,128.47,0.0,North,Amritsar
134,1699,2025-01-29T20:28:00,1121.84,87.74,1209.58,credit,partial,683.32,526.26,West,Ahmedabad
135,95929,2025-05-17T19:30:00,833.5,41.68,875.17,credit,partial,265.51,609.66,North,Gurgaon
136,24501,2024-08-31T10:28:00,397.1,71.48,468.58,upi,paid,468.58,0.0,East,Bhubaneswar
137,67824,2025-02-09T11:40:00,1717.02,85.85,1802.87,cash,paid,1802.87,0.0,West,Mumbai
138,48080,2025-12-05T19:38:00,247.32,12.37,259.69,cash,paid,259.69,0.0,South,Chennai
139,461,2025-10-29T11:45:00,619.8,111.56,731.36,credit,paid,731.36,0.0,North,Amritsar
140,21345,2025-03-13T19:54:00,572.28,103.01,675.29,credit,partial,421.3,253.99,North,Delhi
141,97152,2024-05-28T17:19:00,1075.68,148.17,1223.85,credit,partial,664.04,559.81,South,Hyderabad
142,5308,2024-01-15T17:16:00,1072.23,149.75,1221.98,cash,paid,1221.98,0.0,South,Coimbatore
143,38166,2024-08-04T11:50:00,1882.92,94.15,1977.07,credit,paid,1977.07,0.0,East,Guwahati
144,55943,2024-11-30T16:03:00,1040.72,105.03,1145.75,credit,paid,1145.75,0.0,North,Gurgaon
145,12017,2024-04-19T12:01:00,500.04,25.0,525.04,card,paid,525.04,0.0,North,Lucknow
146,80379,2024-06-24T19:05:00,2030.2,228.55,2258.75,cash,paid,2258.75,0.0,West,Goa
147,65556,2025-02-22T15:46:00,680.7,34.04,714.74,credit,paid,714.74,0.0,West,Goa
148,47413,2025-01-29T18:59:00,1319.37,150.78,1470.15,cash,paid,1470.15,0.0,West,Goa
149,78083,2024-07-14T13:26:00,2916.33,257.85,3174.18,credit,partial,1272.78,1901.4,North,Lucknow
150,95406,2025-11-22T11:31:00,1896.54,94.83,1991.37,credit,paid,1991.37,0.0,South,Bangalore
151,60879,2025-01-12T14:45:00,2704.08,135.2,2839.28,credit,paid,2839.28,0.0,East,Bhubaneswar
152,16222,2024-01-29T08:25:00,2777.45,138.87,2916.32,credit,partial,1466.72,1449.6,East,Guwahati
153,53714,2024-03-10T11:10:00,339.18,16.96,356.14,cash,paid,356.14,0.0,West,Pune
154,21529,2024-03-24T19:32:00,2053.35,176.04,2229.39,credit,paid,2229.39,0.0,West,Pune
155,21646,2024-03-19T14:27:00,1450.3,128.95,1579.25,credit,paid,1579.25,0.0,North,Delhi
156,38248,2024-12-20T10:08:00,1578.42,153.37,1731.79,credit,partial,902.49,829.3,West,Mumbai
157,64082,2024-10-01T18:35:00,991.26,49.56,1040.82,cash,paid,1040.82,0.0,North,Gurgaon
158,27424,2024-06-15T15:51:00,1693.14,179.84,1872.98,cash,paid,1872.98,0.0,North,Lucknow
159,22305,2024-01-06T13:04:00,1125.07,202.51,1327.58,cash,paid,1327.58,0.0,South,Coimbatore
160,60070,2024-04-27T19:07:00,2773.05,138.65,2911.7,cash,paid,2911.7,0.0,North,Chandigarh
161,54548,2025-01-30T18:28:00,577.64,28.88,606.52,cash,paid,606.52,0.0,West,Goa
162,34759,2024-08-08T18:57:00,166.48,8.32,174.8,cash,paid,174.8,0.0,West,Pune
163,24801,2025-01-17T10:35:00,1637.72,81.89,1719.61,credit,paid,1719.61,0.0,South,Mysore
164,37413,2024-08-01T18:39:00,280.09,14.0,294.09,credit,paid,294.09,0.0,North,Delhi
165,58031,2024-01-05T10:04:00,412.71,20.64,433.35,cash,paid,433.35,0.0,South,Coimbatore
166,41186,2025-04-02T19:16:00,405.02,72.9,477.92,credit,partial,310.51,167.41,West,Goa
167,11964,2024-12-03T18:31:00,282.78,14.14,296.92,cash,paid,296.92,0.0,North,Lucknow
168,39886,2025-04-02T11:25:00,303.99,54.72,358.71,upi,paid,358.71,0.0,South,Kochi
169,97373,2024-02-15T13:08:00,1112.06,137.18,1249.24,credit,partial,617.95,631.29,West,Ahmedabad
170,56913,2024-03-27T11:47:00,2090.58,104.53,2195.11,cash,paid,2195.11,0.0,East,Kolkata
171,40918,2025-04-17T16:02:00,1332.0,197.19,1529.19,credit,paid,1529.19,0.0,North,Amritsar
172,18495,2024-02-24T11:43:00,467.96,84.23,552.19,credit,paid,552.19,0.0,North,Amritsar
173,9504,2024-05-22T13:28:00,698.3,113.66,811.96,credit,partial,410.66,401.3,East,Guwahati
174,3371,2024-10-06T20:39:00,1556.06,77.8,1633.86,upi,paid,1633.86,0.0,West,Mumbai
175,49123,2025-02-19T10:12:00,1993.64,99.68,2093.32,credit,paid,2093.32,0.0,South,Coimbatore
176,36464,2024-11-26T12:47:00,761.84,137.13,898.97,credit,partial,355.8,543.17,South,Kochi
177,55259,2024-09-11T16:31:00,2243.58,239.16,2482.74,cash,paid,2482.74,0.0,South,Chennai
178,62466,2025-11-27T09:38:00,1633.46,81.67,1715.13,credit,partial,644.36,1070.77,South,Bangalore
179,81188,2025-01-28T20:27:00,506.57,25.33,531.9,cash,paid,531.9,0.0,North,Lucknow
180,1606,2025-07-25T09:17:00,551.37,67.46,618.83,cash,paid,618.83,0.0,South,Mysore
181,48112,2024-10-28T16:03:00,2886.13,144.31,3030.44,credit,paid,3030.44,0.0,West,Ahmedabad
182,388,2024-10-11T18:10:00,672.06,33.6,705.66,cash,paid,705.66,0.0,North,Amritsar
183,44297,2024-01-03T13:46:00,184.45,33.2,217.65,credit,paid,217.65,0.0,South,Chennai
184,17696,2024-12-03T10:59:00,1861.18,177.81,2038.99,upi,paid,2038.99,0.0,North,Noida
185,18634,2025-10-12T16:17:00,901.12,68.07,969.19,cash,paid,969.19,0.0,North,Jaipur
186,86562,2024-02-19T20:42:00,1119.69,127.71,1247.4,cash,paid,1247.4,0.0,South,Hyderabad
187,72274,2024-01-03T16:48:00,2044.4,102.22,2146.62,upi,paid,2146.62,0.0,North,Delhi
188,59055,2025-09-15T14:37:00,790.36,39.52,829.88,credit,paid,829.88,0.0,South,Chennai
189,65906,2025-07-29T19:02:00,768.25,107.28,875.53,credit,partial,321.26,554.27,North,Lucknow
190,45112,2025-06-16T20:35:00,952.57,127.92,1080.49,cash,paid,1080.49,0.0,East,Bhubaneswar
191,53182,2025-11-04T18:39:00,239.18,11.96,251.14,upi,paid,251.14,0.0,North,Noida
192,41520,2025-03-30T14:12:00,790.35,39.52,829.87,credit,paid,829.87,0.0,East,Guwahati
193,19468,2025-12-28T11:29:00,442.42,22.12,464.54,credit,paid,464.54,0.0,North,Jaipur
194,89762,2024-01-16T16:42:00,2366.05,213.56,2579.61,upi,paid,2579.61,0.0,East,Guwahati
195,24137,2024-03-09T17:12:00,330.57,16.53,347.1,upi,paid,347.1,0.0,West,Goa
196,16743,2024-06-24T16:05:00,658.65,32.93,691.58,credit,partial,340.46,351.12,West,Mumbai
197,91095,2025-03-19T19:10:00,444.6,80.03,524.63,credit,partial,235.88,288.75,South,Kochi
198,64553,2025-01-25T19:13:00,1153.09,57.65,1210.74,credit,paid,1210.74,0.0,East,Guwahati
199,70180,2024-10-31T16:40:00,1522.33,76.12,1598.45,credit,paid,1598.45,0.0,South,Hyderabad
200,63275,2024-10-11T20:39:00,1062.21,161.76,1223.97,upi,paid,1223.97,0.0,West,Goa
201,50757,2024-12-22T10:11:00,1241.25,62.06,1303.31,upi,paid,1303.31,0.0,South,Kochi
202,61827,2024-12-14T13:17:00,1702.63,239.39,1942.02,credit,paid,1942.02,0.0,East,Guwahati
203,47598,2025-08-27T19:56:00,1406.28,155.12,1561.4,cash,paid,1561.4,0.0,North,Noida
204,39653,2025-05-02T19:58:00,947.37,47.37,994.74,credit,paid,994.74,0.0,South,Hyderabad
205,55921,2025-08-15T15:16:00,1465.62,73.28,1538.9,cash,paid,1538.9,0.0,South,Bangalore
206,75922,2024-11-11T21:32:00,524.43,59.62,584.06,credit,partial,349.17,234.89,South,Coimbatore
207,95661,2025-02-03T12:52:00,561.24,28.06,589.3,credit,paid,589.3,0.0,West,Surat
208,16104,2024-11-16T20:22:00,2038.72,141.86,2180.58,credit,partial,1396.25,784.33,South,Kochi
209,32317,2025-04-24T13:23:00,474.46,85.4,559.86,credit,paid,559.86,0.0,South,Hyderabad
210,164,2024-10-18T09:18:00,636.89,55.9,692.79,upi,paid,692.79,0.0,East,Bhubaneswar
211,76857,2024-08-29T20:39:00,333.44,60.02,393.46,credit,partial,195.25,198.21,North,Noida
212,81147,2024-01-21T18:32:00,1619.31,80.97,1700.28,upi,paid,1700.28,0.0,West,Goa
213,5490,2024-02-04T09:33:00,1090.44,54.52,1144.96,credit,paid,1144.96,0.0,South,Bangalore
214,54951,2025-07-06T14:59:00,185.7,9.29,194.98,upi,paid,194.98,0.0,North,Lucknow
215,17537,2025-11-24T13:22:00,338.83,40.13,378.96,credit,paid,378.96,0.0,West,Pune
216,3492,2025-10-23T08:36:00,808.35,101.18,909.53,credit,partial,619.03,290.5,East,Bhubaneswar
217,71966,2024-11-02T18:48:00,1755.87,87.79,1843.66,cash,paid,1843.66,0.0,South,Mysore
218,79119,2025-12-09T19:23:00,2477.01,189.63,2666.64,credit,partial,888.72,1777.92,South,Kochi
219,31885,2025-02-18T19:01:00,691.54,73.63,765.17,credit,paid,765.17,0.0,North,Gurgaon
220,79925,2024-10-23T10:43:00,1143.31,98.83,1242.14,credit,partial,593.62,648.52,West,Surat
221,42722,2025-03-08T19:16:00,706.41,35.32,741.73,credit,partial,498.37,243.36,North,Gurgaon
222,48418,2025-04-25T08:54:00,2075.52,103.78,2179.3,upi,paid,2179.3,0.0,North,Amritsar
223,39361,2025-09-15T13:02:00,1198.62,100.69,1299.31,cash,paid,1299.31,0.0,North,Delhi
224,54331,2025-08-17T12:43:00,642.28,32.11,674.39,credit,partial,330.32,344.07,South,Kochi
225,77370,2025-07-30T10:21:00,831.66,41.58,873.24,credit,partial,604.23,269.01,West,Ahmedabad
226,92604,2024-10-27T10:27:00,1052.52,52.63,1105.15,credit,paid,1105.15,0.0,West,Surat
227,94945,2025-05-15T11:42:00,649.78,32.49,682.27,credit,paid,682.27,0.0,West,Pune
228,31796,2025-10-07T20:50:00,799.45,87.43,886.88,credit,partial,502.87,384.01,East,Guwahati
229,93762,2024-12-23T19:27:00,391.8,70.52,462.32,upi,paid,462.32,0.0,East,Kolkata
230,71162,2024-10-31T15:10:00,1375.09,68.75,1443.84,credit,paid,1443.84,0.0,South,Hyderabad
231,42596,2024-05-04T20:55:00,471.22,48.85,520.07,credit,paid,520.07,0.0,North,Lucknow
232,89828,2025-11-19T13:50:00,732.99,36.65,769.64,credit,paid,769.64,0.0,North,Amritsar
233,21751,2025-09-26T14:43:00,319.4,15.97,335.37,upi,paid,335.37,0.0,West,Mumbai
234,35295,2025-04-02T10:31:00,1945.08,164.28,2109.36,cash,paid,2109.36,0.0,South,Coimbatore
235,30953,2024-02-08T15:11:00,1282.7,83.05,1365.75,upi,paid,1365.75,0.0,South,Chennai
236,56173,2025-05-09T19:43:00,1993.39,128.98,2122.37,credit,paid,2122.37,0.0,West,Mumbai
237,6531,2024-10-01T15:30:00,298.31,14.92,313.23,credit,paid,313.23,0.0,West,Pune
238,73024,2025-10-10T19:12:00,1680.24,84.01,1764.25,cash,paid,1764.25,0.0,North,Gurgaon
239,1832,2025-08-14T18:25:00,643.18,94.2,737.38,credit,paid,737.38,0.0,South,Hyderabad
240,10546,2025-04-08T13:45:00,1186.53,59.33,1245.86,cash,paid,1245.86,0.0,West,Ahmedabad
241,77293,2024-07-11T20:57:00,1484.49,74.22,1558.71,credit,partial,735.76,822.95,North,Lucknow
242,97715,2024-10-16T16:44:00,744.35,63.41,807.76,credit,paid,807.76,0.0,North,Noida
243,17268,2024-08-06T10:59:00,1851.9,156.36,2008.26,card,paid,2008.26,0.0,North,Lucknow
244,62907,2025-04-22T08:55:00,970.23,48.51,1018.74,credit,paid,1018.74,0.0,West,Ahmedabad
245,1677,2025-06-17T16:03:00,439.23,21.96,461.19,credit,paid,461.19,0.0,East,Bhubaneswar
246,76529,2024-09-28T15:42:00,629.13,113.24,742.37,credit,partial,351.62,390.75,North,Chandigarh
247,13824,2024-01-19T19:28:00,1622.55,81.13,1703.68,cash,paid,1703.68,0.0,East,Kolkata
248,11590,2024-07-28T18:44:00,969.96,90.23,1060.19,credit,paid,1060.19,0.0,North,Delhi
249,54081,2025-05-13T11:52:00,886.49,44.32,930.81,upi,paid,930.81,0.0,North,Noida
250,29910,2025-12-05T14:44:00,1217.03,102.28,1319.31,cash,paid,1319.31,0.0,South,Hyderabad
251,40400,2024-02-14T09:27:00,1848.56,92.43,1940.99,credit,partial,1068.73,872.26,North,Jaipur
252,6289,2025-11-21T12:18:00,1701.93,212.14,1914.07,credit,paid,1914.07,0.0,South,Hyderabad
253,49122,2024-11-12T18:57:00,732.37,101.79,834.16,cash,paid,834.16,0.0,North,Chandigarh
254,57621,2024-01-12T10:05:00,1024.77,92.47,1117.24,credit,partial,388.58,728.66,West,Goa
255,84590,2024-12-04T15:19:00,1532.86,151.6,1684.46,upi,paid,1684.46,0.0,West,Pune
256,70792,2024-09-07T08:18:00,1645.82,82.29,1728.11,credit,paid,1728.11,0.0,South,Bangalore
257,47294,2024-02-03T19:05:00,804.63,40.23,844.86,credit,paid,844.86,0.0,North,Noida
258,59978,2024-11-28T10:51:00,1788.11,122.38,1910.49,cash,paid,1910.49,0.0,North,Lucknow
259,51916,2024-05-08T09:27:00,867.67,112.84,980.51,credit,paid,980.51,0.0,West,Pune
