city,date,temperature_high,temperature_low,temperature_avg,precipitation_mm,humidity_percent,condition
Mumbai,2022-02-25,25.9,12.6,19.7,0.0,63,cloudy
Mumbai,2022-02-26,27.7,14.9,20.4,0.0,30,cloudy
Mumbai,2022-02-27,24.9,13.0,19.7,0.0,41,sunny
Mumbai,2022-02-28,24.4,14.4,19.8,7.7,63,sunny
Mumbai,2022-03-01,39.9,27.0,32.5,0.0,35,partly_cloudy
Mumbai,2022-03-02,43.8,33.2,36.3,0.0,60,sunny
Mumbai,2022-03-03,41.0,30.1,34.2,0.0,53,sunny
Mumbai,2022-03-04,36.7,26.9,31.3,0.0,34,partly_cloudy
Mumbai,2022-03-05,38.7,31.6,35.6,0.0,44,cloudy
Mumbai,2022-03-06,39.4,30.0,35.1,0.0,47,cloudy
Mumbai,2022-03-07,38.4,29.0,33.1,0.0,46,cloudy
Mumbai,2022-03-08,34.7,23.9,31.5,0.0,32,sunny
Mumbai,2022-03-09,36.7,25.3,32.5,0.0,46,partly_cloudy
Mumbai,2022-03-10,39.0,28.9,33.2,0.0,40,partly_cloudy
Mumbai,2022-03-11,37.8,28.6,34.5,0.0,60,cloudy
Mumbai,2022-03-12,40.3,32.1,35.8,0.0,70,sunny
Mumbai,2022-03-13,37.6,28.0,34.4,0.0,52,sunny
Mumbai,2022-03-14,38.5,28.8,34.6,0.0,37,sunny
Mumbai,2022-03-15,37.7,25.9,33.0,0.0,50,partly_cloudy
Mumbai,2022-03-16,37.7,26.5,32.9,0.0,70,sunny
Mumbai,2022-03-17,34.6,26.1,31.5,0.0,59,cloudy
Mumbai,2022-03-18,36.8,25.6,32.4,0.0,58,cloudy
Mumbai,2022-03-19,37.6,27.4,32.4,0.0,48,sunny
Mumbai,2022-03-20,39.2,27.7,35.5,7.1,39,sunny
Mumbai,2022-03-21,40.2,25.7,32.9,0.0,49,partly_cloudy
Mumbai,2022-03-22,37.9,24.7,31.8,1.8,60,cloudy
Mumbai,2022-03-23,38.0,30.2,33.8,0.0,40,sunny
Mumbai,2022-03-24,36.3,27.5,32.0,0.0,56,partly_cloudy
Mumbai,2022-03-25,36.5,28.8,33.2,0.0,37,sunny
Mumbai,2022-03-26,38.9,27.6,35.3,0.0,59,cloudy
Mumbai,2022-03-27,40.9,25.6,33.2,0.0,36,sunny
Mumbai,2022-03-28,39.1,27.5,32.9,0.0,30,sunny
Mumbai,2022-03-29,40.7,30.6,33.7,0.0,32,cloudy
Mumbai,2022-03-30,35.9,26.0,32.5,0.0,38,partly_cloudy
Mumbai,2022-03-31,38.0,26.0,33.5,0.7,70,sunny
Mumbai,2022-04-01,43.2,29.7,35.5,5.1,41,sunny
Mumbai,2022-04-02,42.8,32.1,35.5,0.0,36,partly_cloudy
Mumbai,2022-04-03,36.8,28.0,33.3,0.0,63,cloudy
Mumbai,2022-04-04,39.3,27.1,34.2,0.0,36,sunny
Mumbai,2022-04-05,37.9,29.1,34.6,0.0,51,cloudy
Mumbai,2022-04-06,40.1,31.1,36.9,0.0,35,partly_cloudy
Mumbai,2022-04-07,37.6,28.8,34.0,0.0,65,cloudy
Mumbai,2022-04-08,40.9,27.1,33.1,0.0,31,partly_cloudy
Mumbai,2022-04-09,40.7,26.5,33.5,0.0,68,partly_cloudy
Mumbai,2022-04-10,40.1,29.9,36.4,0.0,39,cloudy
Mumbai,2022-04-11,41.6,30.2,35.7,0.0,32,cloudy
Mumbai,2022-04-12,36.1,26.9,32.1,0.0,37,partly_cloudy
Mumbai,2022-04-13,38.7,30.9,35.4,0.0,46,partly_cloudy
Mumbai,2022-04-14,37.3,27.5,32.8,0.0,43,partly_cloudy
Mumbai,2022-04-15,39.5,29.5,35.2,0.0,66,partly_cloudy
Mumbai,2022-04-16,39.2,29.9,35.9,0.0,39,sunny
Mumbai,2022-04-17,36.3,27.8,31.8,0.0,31,cloudy
Mumbai,2022-04-18,41.6,27.5,34.0,0.0,48,cloudy
Mumbai,2022-04-19,39.1,28.8,34.7,0.0,53,sunny
Mumbai,2022-04-20,38.9,25.1,32.4,5.6,39,cloudy
Mumbai,2022-04-21,39.4,26.4,33.8,0.0,62,cloudy
Mumbai,2022-04-22,40.1,30.6,34.9,6.4,30,partly_cloudy
Mumbai,2022-04-23,34.6,23.8,31.4,0.0,43,partly_cloudy
Mumbai,2022-04-24,40.0,29.9,33.4,0.0,32,sunny
Mumbai,2022-04-25,36.8,24.9,31.9,0.0,47,cloudy
Mumbai,2022-04-26,39.5,27.6,34.7,0.0,52,sunny
Mumbai,2022-04-27,40.4,32.5,37.0,0.0,41,partly_cloudy
Mumbai,2022-04-28,34.8,24.4,31.4,0.0,65,sunny
Mumbai,2022-04-29,36.7,27.0,32.0,6.5,36,partly_cloudy
Mumbai,2022-04-30,40.0,27.8,34.8,0.0,45,partly_cloudy
Mumbai,2022-05-01,37.5,28.5,31.7,0.0,46,sunny
Mumbai,2022-05-02,38.3,28.4,31.8,0.0,36,cloudy
Mumbai,2022-05-03,42.6,31.2,36.4,0.0,32,sunny
Mumbai,2022-05-04,40.7,32.1,35.3,0.0,59,sunny
Mumbai,2022-05-05,37.2,28.1,32.4,0.0,64,sunny
Mumbai,2022-05-06,37.6,26.3,34.2,0.0,46,cloudy
Mumbai,2022-05-07,38.1,27.3,34.2,0.0,49,cloudy
Mumbai,2022-05-08,40.7,32.4,36.8,0.0,33,sunny
Mumbai,2022-05-09,41.2,28.1,33.9,0.0,35,sunny
Mumbai,2022-05-10,38.6,25.6,32.4,0.0,52,partly_cloudy
Mumbai,2022-05-11,37.2,25.2,31.6,0.0,30,sunny
Mumbai,2022-05-12,36.3,26.2,31.8,0.0,63,sunny
Mumbai,2022-05-13,43.4,32.5,36.7,0.0,68,partly_cloudy
Mumbai,2022-05-14,39.7,26.3,33.6,7.8,61,sunny
Mumbai,2022-05-15,35.8,28.0,31.8,0.0,52,cloudy
Mumbai,2022-05-16,39.3,24.5,32.1,0.0,52,cloudy
Mumbai,2022-05-17,37.6,27.3,32.0,0.0,33,sunny
Mumbai,2022-05-18,40.2,27.3,33.2,0.0,55,partly_cloudy
Mumbai,2022-05-19,40.8,31.4,36.9,0.0,31,cloudy
Mumbai,2022-05-20,41.9,29.4,37.0,0.0,42,cloudy
Mumbai,2022-05-21,39.9,29.1,35.2,0.0,44,cloudy
Mumbai,2022-05-22,38.0,27.1,33.0,0.0,62,cloudy
Mumbai,2022-05-23,36.0,26.7,31.2,0.0,66,sunny
Mumbai,2022-05-24,41.1,33.5,36.5,0.0,64,partly_cloudy
Mumbai,2022-05-25,40.9,31.9,36.8,0.0,36,partly_cloudy
Mumbai,2022-05-26,38.5,29.5,34.2,0.0,45,sunny
Mumbai,2022-05-27,37.4,27.6,31.1,0.0,42,cloudy
Mumbai,2022-05-28,36.6,26.8,31.5,0.0,36,sunny
Mumbai,2022-05-29,40.8,26.7,34.4,0.0,44,sunny
Mumbai,2022-05-30,38.0,27.2,33.8,0.0,61,sunny
Mumbai,2022-05-31,38.5,28.0,33.8,0.0,61,cloudy
Mumbai,2022-06-01,28.2,19.8,23.2,44.9,82,rainy
Mumbai,2022-06-02,31.3,21.2,25.9,0.0,79,sunny
Mumbai,2022-06-03,29.2,16.1,23.8,0.0,91,cloudy
Mumbai,2022-06-04,29.0,21.1,25.4,18.8,92,rainy
Mumbai,2022-06-05,29.0,18.0,25.2,0.0,54,sunny
Mumbai,2022-06-06,35.3,22.2,28.3,10.6,78,rainy
Mumbai,2022-06-07,31.8,22.0,25.3,31.6,89,rainy
Mumbai,2022-06-08,32.9,18.4,26.4,7.4,45,rainy
Mumbai,2022-06-09,30.4,17.7,23.4,26.1,54,rainy
Mumbai,2022-06-10,27.1,18.0,23.8,44.7,80,rainy
Mumbai,2022-06-11,32.0,23.1,28.6,47.5,84,rainy
Mumbai,2022-06-12,29.1,19.9,23.1,22.6,90,rainy
Mumbai,2022-06-13,28.8,21.4,24.6,34.4,41,rainy
Mumbai,2022-06-14,31.8,17.4,24.4,0.0,85,cloudy
Mumbai,2022-06-15,35.2,22.3,27.5,0.0,45,sunny
Mumbai,2022-06-16,30.8,21.4,27.2,48.4,59,rainy
Mumbai,2022-06-17,30.7,19.3,26.9,22.6,89,rainy
Mumbai,2022-06-18,28.0,18.4,23.6,0.0,58,sunny
Mumbai,2022-06-19,33.9,20.4,27.8,0.0,88,cloudy
Mumbai,2022-06-20,32.4,20.0,25.5,24.3,61,rainy
Mumbai,2022-06-21,28.8,20.3,24.7,5.7,94,rainy
Mumbai,2022-06-22,32.6,19.2,24.7,0.0,47,sunny
Mumbai,2022-06-23,31.4,23.8,27.8,0.0,52,sunny
Mumbai,2022-06-24,29.9,19.3,26.0,45.5,74,rainy
Mumbai,2022-06-25,30.9,20.2,26.8,0.0,56,cloudy
Mumbai,2022-06-26,29.1,20.7,25.7,28.6,62,rainy
Mumbai,2022-06-27,30.5,19.2,25.8,32.8,75,rainy
Mumbai,2022-06-28,29.8,15.3,23.2,49.2,56,rainy
Mumbai,2022-06-29,29.2,19.9,25.6,9.2,83,rainy
Mumbai,2022-06-30,28.9,17.7,24.4,0.0,88,cloudy
Mumbai,2022-07-01,31.5,23.1,27.0,14.4,47,rainy
Mumbai,2022-07-02,33.8,19.9,27.5,0.0,93,cloudy
Mumbai,2022-07-03,31.3,18.4,23.5,0.0,72,cloudy
Mumbai,2022-07-04,32.6,23.5,27.6,23.0,40,rainy
Mumbai,2022-07-05,32.1,24.2,28.4,0.0,71,sunny
Mumbai,2022-07-06,33.1,22.2,28.1,43.8,86,rainy
Mumbai,2022-07-07,29.9,19.1,26.4,0.0,77,sunny
Mumbai,2022-07-08,31.6,19.2,25.3,0.0,72,cloudy
Mumbai,2022-07-09,32.6,21.6,26.6,31.5,72,rainy
Mumbai,2022-07-10,30.5,20.0,25.5,5.1,75,rainy
Mumbai,2022-07-11,30.3,21.2,24.2,27.5,95,rainy
Mumbai,2022-07-12,32.0,22.4,25.5,31.5,91,rainy
Mumbai,2022-07-13,32.8,21.1,27.7,19.9,49,rainy
Mumbai,2022-07-14,30.0,20.1,23.7,0.0,50,sunny
Mumbai,2022-07-15,31.4,22.0,27.3,34.6,45,rainy
Mumbai,2022-07-16,31.8,19.8,23.8,0.0,66,cloudy
Mumbai,2022-07-17,35.4,25.0,28.4,0.0,78,cloudy
Mumbai,2022-07-18,28.4,17.6,25.1,0.0,79,sunny
Mumbai,2022-07-19,32.4,19.6,26.4,28.1,62,rainy
Mumbai,2022-07-20,31.4,22.2,26.0,27.1,90,rainy
Mumbai,2022-07-21,32.6,19.7,25.4,30.3,74,rainy
Mumbai,2022-07-22,32.1,18.0,24.7,0.0,94,sunny
Mumbai,2022-07-23,30.8,19.9,23.6,12.1,95,rainy
Mumbai,2022-07-24,32.2,22.3,25.8,33.4,89,rainy
Mumbai,2022-07-25,28.0,18.5,24.1,16.3,93,rainy
Mumbai,2022-07-26,35.4,23.2,28.8,20.3,77,rainy
Mumbai,2022-07-27,32.4,19.2,26.3,0.0,95,cloudy
Mumbai,2022-07-28,35.4,21.7,28.0,32.9,87,rainy
Mumbai,2022-07-29,30.5,18.8,24.7,31.3,59,rainy
Mumbai,2022-07-30,29.5,19.4,26.4,47.9,93,rainy
Mumbai,2022-07-31,34.1,22.7,27.3,9.1,78,rainy
Mumbai,2022-08-01,33.2,19.6,25.5,0.0,42,cloudy
Mumbai,2022-08-02,28.4,17.0,24.3,0.0,88,cloudy
Mumbai,2022-08-03,32.6,22.0,25.0,0.0,80,sunny
Mumbai,2022-08-04,32.2,22.5,26.6,24.3,58,rainy
Mumbai,2022-08-05,27.6,18.6,24.4,24.6,89,rainy
Mumbai,2022-08-06,35.2,22.9,27.3,46.1,55,rainy
Mumbai,2022-08-07,27.0,19.6,23.0,0.0,75,cloudy
Mumbai,2022-08-08,28.8,17.7,25.4,0.0,67,cloudy
Mumbai,2022-08-09,35.0,22.5,27.2,0.0,69,cloudy
Mumbai,2022-08-10,32.6,20.0,25.6,17.5,83,rainy
Mumbai,2022-08-11,31.9,20.7,28.6,0.0,43,sunny
Mumbai,2022-08-12,33.8,20.4,27.9,17.9,71,rainy
Mumbai,2022-08-13,33.4,22.1,28.1,46.8,57,rainy
Mumbai,2022-08-14,35.6,23.4,28.7,0.0,70,cloudy
Mumbai,2022-08-15,32.1,19.6,26.1,41.9,62,rainy
Mumbai,2022-08-16,32.3,23.4,28.8,16.2,55,rainy
Mumbai,2022-08-17,30.9,18.4,23.9,0.0,63,cloudy
Mumbai,2022-08-18,28.9,18.6,25.0,17.3,85,rainy
Mumbai,2022-08-19,32.4,18.6,24.9,0.0,90,sunny
Mumbai,2022-08-20,30.0,19.3,24.6,15.3,94,rainy
Mumbai,2022-08-21,32.4,22.6,26.3,0.0,92,sunny
Mumbai,2022-08-22,29.0,20.9,24.2,9.9,81,rainy
Mumbai,2022-08-23,32.7,20.6,26.2,0.0,41,sunny
Mumbai,2022-08-24,29.3,17.9,24.9,0.0,50,cloudy
Mumbai,2022-08-25,31.8,17.3,24.4,0.0,82,sunny
Mumbai,2022-08-26,32.4,23.2,28.0,0.0,65,cloudy
Mumbai,2022-08-27,31.8,22.9,27.4,20.9,74,rainy
Mumbai,2022-08-28,32.0,19.6,26.9,31.6,65,rainy
Mumbai,2022-08-29,34.0,22.6,28.1,25.8,92,rainy
Mumbai,2022-08-30,33.7,20.8,26.1,10.6,64,rainy
Mumbai,2022-08-31,35.1,19.9,27.1,12.0,73,rainy
Mumbai,2022-09-01,33.4,20.3,26.0,9.0,42,rainy
Mumbai,2022-09-02,30.9,20.2,25.0,8.2,90,rainy
Mumbai,2022-09-03,31.0,20.0,26.7,36.4,40,rainy
Mumbai,2022-09-04,34.7,22.2,27.9,0.0,41,sunny
Mumbai,2022-09-05,30.5,18.5,25.6,28.6,64,rainy
Mumbai,2022-09-06,31.2,20.9,27.6,0.0,68,cloudy
Mumbai,2022-09-07,30.6,20.8,24.8,0.0,49,sunny
Mumbai,2022-09-08,27.8,17.9,24.4,35.8,82,rainy
Mumbai,2022-09-09,28.6,18.0,25.3,0.0,90,sunny
Mumbai,2022-09-10,31.6,21.7,25.9,30.3,61,rainy
Mumbai,2022-09-11,30.6,23.2,27.2,0.0,55,sunny
Mumbai,2022-09-12,31.9,22.4,26.7,38.1,42,rainy
Mumbai,2022-09-13,34.3,20.1,27.7,0.0,72,cloudy
Mumbai,2022-09-14,33.1,23.5,28.3,0.0,95,cloudy
Mumbai,2022-09-15,29.6,21.0,26.5,9.4,94,rainy
Mumbai,2022-09-16,32.6,20.1,25.8,17.5,49,rainy
Mumbai,2022-09-17,33.1,22.6,27.8,0.0,55,cloudy
Mumbai,2022-09-18,33.3,21.0,25.4,46.4,40,rainy
Mumbai,2022-09-19,30.3,20.2,26.7,0.0,40,sunny
Mumbai,2022-09-20,28.7,17.1,24.9,13.1,81,rainy
Mumbai,2022-09-21,29.6,18.9,23.3,8.1,60,rainy
Mumbai,2022-09-22,31.4,19.2,27.1,10.9,87,rainy
Mumbai,2022-09-23,29.2,19.1,24.5,0.0,61,cloudy
Mumbai,2022-09-24,27.7,18.1,24.3,0.0,47,cloudy
Mumbai,2022-09-25,28.5,18.3,23.7,0.0,66,sunny
Mumbai,2022-09-26,32.4,21.2,26.2,0.0,53,cloudy
Mumbai,2022-09-27,33.4,21.4,26.3,16.0,78,rainy
Mumbai,2022-09-28,30.0,21.2,24.6,0.0,59,sunny
Mumbai,2022-09-29,29.1,21.7,26.0,0.0,70,sunny
Mumbai,2022-09-30,32.2,24.7,28.8,49.5,80,rainy
Mumbai,2022-10-01,35.9,21.7,27.9,0.0,67,partly_cloudy
Mumbai,2022-10-02,36.7,23.7,29.0,0.0,44,cloudy
Mumbai,2022-10-03,34.1,23.0,28.6,0.0,41,sunny
Mumbai,2022-10-04,32.2,22.9,26.4,0.0,68,sunny
Mumbai,2022-10-05,35.0,20.4,27.1,0.0,50,sunny
Mumbai,2022-10-06,30.3,18.7,26.5,0.0,48,partly_cloudy
Mumbai,2022-10-07,30.6,21.5,27.4,0.0,58,sunny
Mumbai,2022-10-08,35.7,24.0,29.3,0.0,62,partly_cloudy
Mumbai,2022-10-09,35.2,23.9,27.5,0.0,41,partly_cloudy
Mumbai,2022-10-10,34.7,20.8,27.8,0.0,62,cloudy
Mumbai,2022-10-11,29.6,21.6,26.1,0.0,44,partly_cloudy
Mumbai,2022-10-12,30.1,18.2,26.1,0.6,30,partly_cloudy
Mumbai,2022-10-13,34.3,24.2,30.0,0.0,63,sunny
Mumbai,2022-10-14,30.8,23.1,26.8,0.0,48,partly_cloudy
Mumbai,2022-10-15,34.5,23.4,29.4,0.0,47,partly_cloudy
Mumbai,2022-10-16,36.9,23.2,29.0,0.0,40,cloudy
Mumbai,2022-10-17,33.3,22.2,27.3,0.0,64,cloudy
Mumbai,2022-10-18,34.3,23.3,27.1,4.3,60,partly_cloudy
Mumbai,2022-10-19,37.3,23.6,29.5,0.0,30,sunny
Mumbai,2022-10-20,30.5,22.2,26.1,0.0,62,cloudy
Mumbai,2022-10-21,33.1,22.5,26.9,0.0,59,partly_cloudy
Mumbai,2022-10-22,36.2,26.7,30.0,0.0,38,cloudy
Mumbai,2022-10-23,30.7,19.3,26.5,0.1,32,partly_cloudy
Mumbai,2022-10-24,34.7,21.0,27.1,0.0,51,sunny
Mumbai,2022-10-25,30.5,20.8,27.3,0.0,34,sunny
Mumbai,2022-10-26,35.9,21.6,28.9,0.0,52,cloudy
Mumbai,2022-10-27,32.2,22.6,28.0,0.0,48,sunny
Mumbai,2022-10-28,30.2,21.6,26.7,0.0,48,partly_cloudy
Mumbai,2022-10-29,30.8,22.7,27.2,0.0,55,sunny
Mumbai,2022-10-30,37.7,22.6,29.9,0.0,37,sunny
Mumbai,2022-10-31,34.8,25.4,29.7,0.0,42,cloudy
Mumbai,2022-11-01,36.5,24.9,29.5,0.0,69,partly_cloudy
Mumbai,2022-11-02,33.8,20.9,26.8,0.0,45,partly_cloudy
Mumbai,2022-11-03,30.4,21.4,27.3,0.0,50,partly_cloudy
Mumbai,2022-11-04,33.5,24.5,28.3,0.0,65,partly_cloudy
Mumbai,2022-11-05,29.9,19.2,26.4,0.0,43,sunny
Mumbai,2022-11-06,34.0,21.4,29.0,0.0,43,cloudy
Mumbai,2022-11-07,36.7,21.5,29.2,2.7,47,partly_cloudy
Mumbai,2022-11-08,30.7,22.5,27.5,0.0,55,partly_cloudy
Mumbai,2022-11-09,33.7,20.4,27.4,0.0,30,cloudy
Mumbai,2022-11-10,33.7,23.6,28.5,0.0,61,partly_cloudy
Mumbai,2022-11-11,32.6,22.9,29.1,0.0,38,cloudy
Mumbai,2022-11-12,35.7,21.8,28.1,0.0,63,sunny
Mumbai,2022-11-13,32.0,23.4,26.7,0.0,33,sunny
Mumbai,2022-11-14,33.1,22.8,29.8,0.0,37,partly_cloudy
Mumbai,2022-11-15,32.7,22.6,26.3,0.0,51,cloudy
Mumbai,2022-11-16,32.8,24.4,27.8,0.0,65,cloudy
Mumbai,2022-11-17,30.8,20.4,26.2,7.3,31,sunny
Mumbai,2022-11-18,33.9,22.3,26.9,0.0,31,partly_cloudy
Mumbai,2022-11-19,32.9,24.1,29.1,0.0,34,sunny
Mumbai,2022-11-20,33.7,20.5,26.6,0.0,42,cloudy
Mumbai,2022-11-21,35.0,23.3,29.6,0.0,38,partly_cloudy
Mumbai,2022-11-22,34.4,24.1,28.4,0.0,67,cloudy
Mumbai,2022-11-23,33.1,22.6,26.6,0.0,36,sunny
Mumbai,2022-11-24,36.5,25.6,29.3,0.0,55,sunny
Mumbai,2022-11-25,32.6,21.8,28.0,0.0,38,partly_cloudy
Mumbai,2022-11-26,29.4,22.2,26.0,0.0,56,partly_cloudy
Mumbai,2022-11-27,34.8,25.0,28.4,0.0,55,cloudy
Mumbai,2022-11-28,34.8,23.6,29.9,0.0,40,cloudy
Mumbai,2022-11-29,32.3,23.5,28.7,0.0,51,partly_cloudy
Mumbai,2022-11-30,32.8,24.3,29.0,0.0,66,sunny
Mumbai,2022-12-01,27.0,15.9,21.1,0.0,36,sunny
Mumbai,2022-12-02,21.5,11.8,18.4,0.0,56,partly_cloudy
Mumbai,2022-12-03,27.4,15.4,21.7,0.0,53,partly_cloudy
Mumbai,2022-12-04,23.6,12.9,18.4,0.0,47,cloudy
Mumbai,2022-12-05,25.9,13.6,18.9,2.5,32,sunny
Mumbai,2022-12-06,29.0,14.2,21.1,0.0,45,partly_cloudy
Mumbai,2022-12-07,25.5,12.3,19.3,0.0,70,sunny
Mumbai,2022-12-08,24.3,11.6,19.0,0.0,60,sunny
Mumbai,2022-12-09,28.6,16.2,21.0,0.0,58,partly_cloudy
Mumbai,2022-12-10,26.4,18.0,21.3,0.0,69,sunny
Mumbai,2022-12-11,24.6,15.4,18.7,0.0,38,sunny
Mumbai,2022-12-12,25.6,11.8,19.0,0.0,46,cloudy
Mumbai,2022-12-13,28.9,18.6,21.7,0.0,35,sunny
Mumbai,2022-12-14,24.3,16.8,20.9,0.0,66,sunny
Mumbai,2022-12-15,22.3,13.8,19.3,0.0,69,sunny
Mumbai,2022-12-16,24.2,15.9,20.0,0.0,54,cloudy
Mumbai,2022-12-17,27.4,16.8,20.4,0.0,38,sunny
Mumbai,2022-12-18,24.2,14.2,19.2,0.0,53,partly_cloudy
Mumbai,2022-12-19,28.5,14.7,21.7,0.0,61,cloudy
Mumbai,2022-12-20,26.6,16.8,21.0,0.0,33,cloudy
Mumbai,2022-12-21,23.1,12.3,18.8,0.0,36,sunny
Mumbai,2022-12-22,28.7,13.7,21.5,0.0,59,partly_cloudy
Mumbai,2022-12-23,25.9,16.1,19.7,0.0,33,sunny
Mumbai,2022-12-24,26.5,15.9,20.6,0.0,48,sunny
Mumbai,2022-12-25,27.2,15.2,20.0,0.0,54,partly_cloudy
Mumbai,2022-12-26,28.8,13.9,21.8,0.0,44,sunny
Mumbai,2022-12-27,29.2,14.8,21.8,0.0,44,sunny
Mumbai,2022-12-28,27.2,15.5,20.5,0.0,65,cloudy
Mumbai,2022-12-29,25.6,11.0,18.5,0.0,47,partly_cloudy
Mumbai,2022-12-30,24.3,12.1,18.6,0.0,65,partly_cloudy
Mumbai,2022-12-31,24.0,11.4,19.1,0.0,53,sunny
Mumbai,2023-01-01,24.0,15.4,20.9,0.0,45,partly_cloudy
Mumbai,2023-01-02,26.8,14.9,20.3,0.0,40,sunny
Mumbai,2023-01-03,22.4,12.4,19.2,7.3,57,sunny
Mumbai,2023-01-04,25.8,11.4,19.1,0.0,46,sunny
Mumbai,2023-01-05,26.4,14.5,19.6,0.0,67,cloudy
Mumbai,2023-01-06,27.0,14.0,20.1,1.3,33,partly_cloudy
Mumbai,2023-01-07,23.9,12.1,18.8,0.0,51,cloudy
Mumbai,2023-01-08,25.2,11.7,18.5,0.0,35,cloudy
Mumbai,2023-01-09,26.0,11.3,18.6,0.0,40,cloudy
Mumbai,2023-01-10,25.1,16.7,20.3,0.0,32,cloudy
Mumbai,2023-01-11,24.4,12.2,20.2,0.0,32,partly_cloudy
Mumbai,2023-01-12,24.5,17.0,20.1,0.0,37,partly_cloudy
Mumbai,2023-01-13,22.9,10.7,18.5,0.0,37,partly_cloudy
Mumbai,2023-01-14,22.0,10.9,18.4,0.0,42,sunny
Mumbai,2023-01-15,25.6,15.6,21.6,0.0,30,partly_cloudy
Mumbai,2023-01-16,26.1,11.4,19.1,0.0,66,cloudy
Mumbai,2023-01-17,24.3,16.2,21.2,0.0,36,sunny
Mumbai,2023-01-18,23.8,13.9,20.5,0.0,45,partly_cloudy
Mumbai,2023-01-19,23.7,14.4,18.3,8.4,48,sunny
