date,cpi_inflation,wpi_inflation,fuel_price_petrol,fuel_price_diesel,gold_price,usd_inr_rate
2022-02-26,5.5,4.09,103.12,91.81,54835.43,81.83
2022-02-27,6.06,4.44,100.12,92.49,55090.02,81.94
2022-02-28,5.6,4.46,100.14,90.36,55875.86,82.41
2022-03-01,5.53,3.8,99.17,92.74,55513.95,82.52
2022-03-02,6.26,4.91,100.7,91.72,56060.18,82.84
2022-03-03,5.72,3.64,98.92,89.59,55797.68,82.62
2022-03-04,5.43,3.62,103.09,90.46,56332.9,82.18
2022-03-05,5.35,3.99,102.58,88.55,55933.45,82.88
2022-03-06,5.67,3.85,102.65,89.74,55689.15,81.96
2022-03-07,6.2,4.48,99.38,92.48,55505.74,82.81
2022-03-08,5.45,4.08,100.12,91.72,55555.57,81.76
2022-03-09,5.52,4.41,98.87,89.41,55852.42,82.46
2022-03-10,5.7,4.44,102.97,90.69,55421.55,82.15
2022-03-11,6.35,4.76,103.02,90.58,56301.93,82.69
2022-03-12,6.04,3.74,102.56,90.59,56479.38,82.17
2022-03-13,5.77,3.91,98.42,91.63,54934.03,82.05
2022-03-14,5.8,3.65,102.6,90.06,55176.79,82.81
2022-03-15,5.94,4.06,101.95,90.88,55469.78,81.99
2022-03-16,5.42,4.38,100.03,90.6,55523.96,82.88
2022-03-17,6.4,4.13,99.58,90.15,55274.83,82.51
2022-03-18,5.94,5.06,101.56,90.2,56042.12,81.79
2022-03-19,5.85,4.11,102.08,92.0,55099.84,82.03
2022-03-20,5.75,5.16,103.23,92.02,55238.57,82.36
2022-03-21,5.58,3.77,100.52,93.02,55972.09,81.81
2022-03-22,5.97,4.56,102.92,89.92,55469.82,82.49
2022-03-23,5.87,4.75,102.05,90.12,54999.64,82.1
2022-03-24,5.57,5.12,102.9,90.0,55326.41,82.84
2022-03-25,6.38,3.85,98.53,89.48,56560.75,82.45
2022-03-26,5.76,4.11,99.33,91.35,56155.13,81.85
2022-03-27,5.57,4.65,101.95,90.71,56547.95,81.88
2022-03-28,5.9,4.92,101.17,90.56,55969.46,82.69
2022-03-29,6.29,4.15,102.2,89.89,56349.29,82.92
2022-03-30,5.72,4.47,100.42,90.9,55677.02,82.74
2022-03-31,6.29,3.98,99.65,91.72,56505.17,82.42
2022-04-01,6.16,5.19,99.26,89.34,56307.99,82.71
2022-04-02,5.6,4.6,99.68,92.04,56273.32,82.54
2022-04-03,6.5,4.74,99.01,90.86,56511.77,82.47
2022-04-04,6.15,4.96,102.25,89.09,55583.48,82.09
2022-04-05,5.84,3.94,100.8,89.96,55038.47,82.92
2022-04-06,6.13,4.02,102.41,88.7,55376.5,82.28
2022-04-07,6.18,4.95,99.44,90.26,55752.72,81.93
2022-04-08,5.55,4.86,99.89,90.37,55178.48,82.42
2022-04-09,6.51,4.44,101.14,93.17,55759.87,82.03
2022-04-10,5.56,4.45,101.38,91.01,55148.61,82.53
2022-04-11,6.29,4.05,99.47,92.39,55254.36,82.06
2022-04-12,5.6,4.43,100.64,92.41,56171.49,82.48
2022-04-13,5.83,5.15,102.58,91.6,55757.16,82.21
2022-04-14,6.19,4.97,103.21,92.92,56525.46,81.95
2022-04-15,5.96,5.15,99.44,91.23,55838.18,83.02
2022-04-16,6.19,5.04,100.06,93.02,56495.13,82.69
2022-04-17,6.14,5.21,99.94,89.21,56367.99,82.46
2022-04-18,6.0,5.16,99.52,88.82,55983.4,82.53
2022-04-19,5.79,4.16,103.15,89.67,55464.22,82.59
2022-04-20,6.57,5.2,99.1,93.23,56675.59,82.94
2022-04-21,6.53,5.4,100.34,92.51,55361.9,83.02
2022-04-22,6.35,4.08,103.43,92.89,56393.32,82.67
2022-04-23,6.52,5.19,103.6,91.5,56747.72,82.49
2022-04-24,6.48,5.37,101.79,90.35,55823.99,82.7
2022-04-25,6.13,4.36,99.73,92.69,55686.37,81.88
2022-04-26,5.98,5.14,101.92,89.18,56197.6,82.07
2022-04-27,6.43,3.88,101.11,92.36,55220.19,82.69
2022-04-28,6.04,4.95,103.34,89.63,55877.49,82.33
2022-04-29,5.86,5.34,98.74,89.37,56359.04,82.14
2022-04-30,6.63,5.44,101.02,89.7,56695.93,81.89
2022-05-01,5.7,5.22,100.18,90.44,56151.93,82.4
2022-05-02,6.59,4.26,100.44,89.8,55483.59,82.52
2022-05-03,6.32,4.55,99.35,89.43,56685.77,82.31
2022-05-04,6.16,4.89,102.54,93.22,55571.29,82.05
2022-05-05,5.98,4.15,99.2,93.2,56397.22,82.07
2022-05-06,6.35,3.91,99.9,88.86,56068.74,82.09
2022-05-07,6.65,5.14,100.83,90.77,55912.58,82.95
2022-05-08,5.93,4.63,103.51,89.33,55290.29,82.72
2022-05-09,6.4,3.96,100.74,91.71,55968.34,82.1
2022-05-10,6.16,4.32,99.03,89.94,55243.02,81.91
2022-05-11,6.44,4.18,99.45,92.51,55453.35,82.03
2022-05-12,6.57,5.46,102.3,92.21,56780.04,82.34
2022-05-13,6.04,4.39,103.29,92.71,55885.51,82.19
2022-05-14,6.6,3.95,100.78,89.71,55546.58,82.53
2022-05-15,6.6,4.75,99.41,93.05,56106.21,82.26
2022-05-16,5.83,5.05,103.03,92.73,55561.62,82.39
2022-05-17,5.87,4.1,100.65,91.33,55858.14,82.72
2022-05-18,6.37,5.49,100.53,92.57,55859.5,82.66
2022-05-19,5.91,4.59,102.25,89.58,55410.81,83.11
2022-05-20,5.96,4.23,103.2,90.3,55796.57,82.54
2022-05-21,6.69,4.34,101.17,91.95,56396.83,82.46
2022-05-22,6.47,4.37,103.46,90.9,55789.68,82.89
2022-05-23,6.59,5.25,103.67,92.46,55959.39,82.61
2022-05-24,6.29,4.15,101.31,90.01,55830.7,82.16
2022-05-25,6.06,5.47,102.18,91.44,55758.8,82.39
2022-05-26,6.15,4.11,101.91,90.38,55581.99,82.48
2022-05-27,6.68,5.25,100.57,91.93,56006.4,83.14
2022-05-28,6.22,5.42,101.02,90.45,55784.97,82.82
2022-05-29,6.2,5.37,101.23,91.86,55555.83,82.9
2022-05-30,6.57,4.48,101.24,92.04,56801.12,82.75
2022-05-31,5.99,5.52,103.03,93.29,56891.45,82.71
2022-06-01,6.39,4.28,101.67,91.87,55917.53,82.05
2022-06-02,6.68,4.63,101.08,90.93,56307.0,82.23
2022-06-03,6.6,4.45,102.27,92.7,56108.37,82.66
2022-06-04,6.45,5.08,101.72,92.96,56263.85,82.03
2022-06-05,5.89,5.15,102.66,92.21,55645.63,82.6
2022-06-06,6.2,5.39,101.1,89.74,56361.0,82.89
2022-06-07,5.86,4.58,99.39,91.73,56409.02,82.97
2022-06-08,6.66,5.47,99.88,90.65,55733.72,82.76
2022-06-09,6.37,5.43,100.0,91.35,56330.9,82.47
2022-06-10,6.66,4.79,100.42,89.26,56019.7,82.7
2022-06-11,6.37,5.05,100.64,89.42,56016.34,83.12
2022-06-12,6.61,5.29,99.7,89.0,56509.36,82.49
2022-06-13,6.72,4.73,103.39,89.22,57078.49,82.56
2022-06-14,6.11,4.98,99.08,91.66,56354.64,82.42
2022-06-15,6.39,4.88,99.09,90.2,56227.35,82.35
2022-06-16,6.26,5.54,102.81,90.37,57089.6,83.07
2022-06-17,6.4,5.14,99.46,89.8,57084.05,82.23
2022-06-18,6.78,4.66,101.33,93.5,55770.98,82.19
2022-06-19,6.09,5.63,99.17,90.38,56761.42,82.81
2022-06-20,6.57,5.16,102.23,89.98,56238.86,82.36
2022-06-21,6.69,4.66,101.89,90.32,56211.16,83.06
2022-06-22,6.29,4.95,100.87,89.98,55500.2,82.04
2022-06-23,6.73,5.08,101.4,90.37,55865.85,82.49
2022-06-24,6.76,5.43,101.81,89.48,56145.6,83.02
2022-06-25,6.36,5.46,101.22,89.77,56154.66,82.45
2022-06-26,6.93,5.17,100.95,92.72,55864.41,82.47
2022-06-27,6.55,4.79,103.06,89.33,55689.68,82.68
2022-06-28,6.88,5.44,99.15,91.57,56060.8,82.3
2022-06-29,6.98,5.65,102.92,91.89,57127.45,82.72
2022-06-30,6.87,4.29,101.8,89.28,56297.93,82.48
2022-07-01,6.73,5.37,100.16,91.94,56887.63,82.99
2022-07-02,6.14,5.71,103.94,89.77,56219.95,82.02
2022-07-03,6.75,4.47,102.87,92.09,56469.7,83.2
2022-07-04,6.48,4.69,99.15,90.54,56098.15,82.17
2022-07-05,6.2,4.68,99.19,90.4,56572.57,82.45
2022-07-06,6.63,4.52,100.21,91.47,55901.14,82.36
2022-07-07,6.29,4.37,103.01,91.66,56638.83,82.62
2022-07-08,6.72,4.4,103.17,92.88,57178.81,83.01
2022-07-09,6.19,4.92,99.47,90.84,56157.8,82.7
2022-07-10,6.29,5.66,103.76,90.35,56315.59,83.06
2022-07-11,6.14,4.43,102.34,89.75,56437.54,82.79
2022-07-12,6.41,5.55,101.0,90.66,55969.39,82.1
2022-07-13,6.44,4.65,103.85,89.98,56352.01,82.59
2022-07-14,6.23,5.27,100.0,93.29,56104.31,82.61
2022-07-15,6.79,5.03,99.51,89.84,57113.26,82.92
2022-07-16,6.27,5.34,103.11,92.38,55716.95,83.12
2022-07-17,6.13,5.22,99.47,92.14,56848.45,82.61
2022-07-18,6.37,4.44,100.44,93.54,57136.56,82.59
2022-07-19,6.24,5.29,102.52,90.46,56597.4,82.61
2022-07-20,6.35,4.35,99.96,90.4,57081.35,82.8
2022-07-21,6.56,5.69,101.92,92.13,56211.89,82.47
2022-07-22,6.84,5.48,103.56,90.31,56520.38,82.86
2022-07-23,6.13,4.36,99.8,90.24,56138.88,82.43
2022-07-24,6.5,5.1,103.2,90.41,55835.33,82.72
2022-07-25,6.17,4.41,100.66,90.43,56667.99,82.27
2022-07-26,6.88,5.67,99.82,91.88,57149.46,82.14
2022-07-27,6.7,4.45,101.08,93.33,57167.67,82.42
2022-07-28,6.82,5.27,101.32,92.18,56559.75,83.07
2022-07-29,6.8,4.68,101.73,93.64,56825.59,82.67
2022-07-30,6.82,4.91,100.34,91.18,57105.48,83.0
2022-07-31,7.05,5.84,103.86,93.26,56655.12,82.64
2022-08-01,6.92,4.46,99.96,92.41,57227.1,83.11
2022-08-02,6.31,4.45,102.54,93.36,56157.11,82.37
2022-08-03,6.89,5.92,103.28,89.84,56626.17,83.23
2022-08-04,6.19,5.33,100.16,90.12,56040.24,82.32
2022-08-05,6.58,5.56,103.21,90.8,57398.26,83.3
2022-08-06,6.29,5.18,103.69,93.14,56114.14,82.09
2022-08-07,6.71,4.99,99.35,92.18,56136.97,82.29
2022-08-08,6.78,5.99,100.77,92.62,55941.44,82.45
2022-08-09,6.28,4.93,99.99,93.25,56077.12,83.3
2022-08-10,7.01,5.83,102.63,92.43,56382.05,82.41
2022-08-11,6.28,5.58,102.78,92.83,56134.87,82.23
2022-08-12,6.87,5.83,104.09,89.63,57283.52,82.69
2022-08-13,6.66,4.87,99.66,91.55,56237.44,82.91
2022-08-14,6.43,4.64,102.9,90.61,57403.12,82.4
2022-08-15,6.75,5.09,100.46,90.59,56936.13,82.94
2022-08-16,7.06,4.69,102.84,90.15,56019.49,82.36
2022-08-17,6.49,5.64,99.87,90.67,56918.51,82.59
2022-08-18,6.64,5.55,100.72,91.52,56149.21,82.73
2022-08-19,7.26,5.78,101.86,89.53,56209.74,82.62
2022-08-20,6.98,5.43,100.96,93.51,57037.03,82.65
2022-08-21,7.13,5.35,100.04,93.49,56250.48,82.82
2022-08-22,6.75,5.46,103.85,91.09,57300.33,82.92
2022-08-23,6.28,4.69,103.05,92.62,56418.96,82.45
2022-08-24,6.39,5.17,100.09,90.61,57238.57,82.14
2022-08-25,6.48,5.82,101.45,89.56,57406.98,82.78
2022-08-26,7.21,5.01,100.7,91.18,56590.36,82.19
2022-08-27,6.88,4.52,102.53,90.5,56844.39,83.24
2022-08-28,6.48,4.54,101.88,92.79,57167.4,82.76
2022-08-29,7.04,5.96,103.05,91.25,56814.61,82.64
2022-08-30,7.07,5.52,103.58,91.64,56096.13,82.93
2022-08-31,6.88,5.46,100.14,91.34,56019.22,82.53
2022-09-01,6.47,5.13,101.19,93.22,57232.56,83.04
2022-09-02,7.29,5.44,100.4,93.54,56179.84,83.31
2022-09-03,6.87,5.28,102.84,91.0,57482.49,83.09
2022-09-04,6.84,5.64,103.05,93.35,56914.49,82.62
2022-09-05,6.98,6.03,104.09,89.52,56608.66,82.38
2022-09-06,6.73,4.92,100.96,90.89,56958.22,82.42
2022-09-07,6.68,6.01,103.4,93.64,56293.43,82.94
2022-09-08,6.94,4.7,102.35,93.3,56299.5,83.03
2022-09-09,6.89,4.86,102.22,90.08,56256.85,83.13
2022-09-10,6.8,5.87,99.51,91.97,56027.65,82.97
2022-09-11,6.78,6.16,99.94,91.51,56667.93,83.21
2022-09-12,7.17,6.07,102.09,93.45,56942.95,83.08
2022-09-13,6.46,5.92,100.7,91.45,56781.47,83.1
2022-09-14,6.81,5.6,101.44,92.67,57346.65,82.83
2022-09-15,7.12,4.98,102.55,93.93,57392.05,82.29
2022-09-16,6.69,4.79,100.28,90.84,57585.54,83.06
2022-09-17,6.89,6.09,102.73,92.26,56398.27,82.65
2022-09-18,7.32,5.03,102.5,92.83,57017.91,82.36
2022-09-19,7.38,5.6,101.92,90.22,57545.53,83.03
2022-09-20,6.66,4.77,101.93,90.93,56116.05,82.87
2022-09-21,7.36,6.18,102.48,90.54,57052.28,82.72
2022-09-22,7.08,5.36,103.92,90.38,56523.52,82.73
2022-09-23,6.86,5.41,101.17,92.96,56698.31,83.33
2022-09-24,7.08,5.97,100.73,92.08,56883.29,82.7
2022-09-25,6.58,4.91,101.18,93.68,56060.67,82.52
2022-09-26,6.72,6.16,103.73,91.6,56583.44,83.19
2022-09-27,6.99,4.85,103.28,90.73,57534.67,82.73
2022-09-28,6.75,5.46,101.36,90.48,57004.54,83.25
2022-09-29,7.38,4.83,103.56,91.1,56540.92,83.07
2022-09-30,6.85,4.96,100.69,90.19,57380.02,82.74
2022-10-01,6.77,5.88,100.25,91.12,56161.37,83.43
2022-10-02,6.95,6.09,102.0,90.47,57468.85,82.67
2022-10-03,7.41,5.19,103.68,91.58,57444.1,82.95
2022-10-04,7.42,5.33,103.63,90.6,57196.95,82.57
2022-10-05,6.54,4.72,101.61,93.36,56434.68,83.23
2022-10-06,6.92,4.77,102.65,92.84,57311.87,83.35
2022-10-07,6.96,5.28,100.11,91.06,57153.97,82.83
2022-10-08,6.95,4.76,103.4,93.48,56450.1,82.49
2022-10-09,6.89,5.61,104.52,90.1,56774.19,82.88
2022-10-10,7.37,5.64,102.63,93.29,57206.83,82.41
2022-10-11,6.59,5.95,101.85,91.43,57214.33,83.46
2022-10-12,7.46,4.81,103.58,92.96,57721.03,83.15
2022-10-13,6.83,4.8,102.43,93.64,56654.97,83.06
2022-10-14,7.24,6.13,102.92,91.52,56875.34,82.38
2022-10-15,7.17,5.68,102.83,92.32,57372.46,83.07
2022-10-16,7.05,5.82,101.35,90.34,56923.61,83.23
2022-10-17,6.95,5.26,101.14,91.08,56665.99,82.73
2022-10-18,7.06,4.79,100.23,93.69,57689.34,82.91
2022-10-19,7.57,5.76,101.11,90.32,56442.62,83.36
2022-10-20,7.35,5.28,104.53,90.95,56487.69,82.95
2022-10-21,7.56,5.3,103.62,91.93,56695.21,82.45
2022-10-22,7.54,5.64,104.16,90.99,57742.05,82.76
2022-10-23,7.05,6.38,103.4,90.18,57333.13,82.32
2022-10-24,7.24,5.76,99.85,92.63,57135.92,83.06
2022-10-25,7.37,6.3,103.49,92.99,57408.75,82.33
2022-10-26,7.26,6.1,101.41,91.44,56561.02,82.4
2022-10-27,7.35,6.38,102.3,91.67,56655.35,83.3
2022-10-28,7.29,6.04,101.52,93.4,56539.11,83.47
2022-10-29,7.39,5.77,100.99,93.29,57081.98,83.19
2022-10-30,7.37,6.31,101.85,93.83,57686.72,82.87
2022-10-31,6.96,5.79,101.61,91.33,57342.76,82.29
2022-11-01,7.31,5.03,104.29,91.06,57577.07,83.1
2022-11-02,7.07,6.13,102.49,90.05,56353.36,82.74
2022-11-03,7.25,5.49,103.6,92.55,57223.0,83.18
2022-11-04,7.54,4.92,100.21,92.27,56302.76,83.1
2022-11-05,6.8,5.44,103.58,91.77,57662.94,82.84
2022-11-06,7.2,5.77,102.87,91.97,57804.78,82.63
2022-11-07,7.7,6.32,101.92,92.36,57040.65,82.45
2022-11-08,7.31,5.35,101.14,92.4,56828.23,82.89
2022-11-09,6.81,5.35,101.01,92.83,57771.07,82.47
2022-11-10,6.85,6.26,102.82,91.58,57331.47,83.46
2022-11-11,7.05,5.14,100.92,90.11,56708.1,83.25
2022-11-12,7.13,5.85,99.93,90.49,56811.55,83.28
2022-11-13,7.26,5.6,100.75,92.36,56557.09,82.56
2022-11-14,7.18,6.13,101.24,90.86,57148.31,83.0
2022-11-15,6.82,6.28,103.17,93.37,56453.3,83.42
2022-11-16,7.71,5.73,101.73,92.68,57074.13,83.38
2022-11-17,6.76,6.09,101.94,91.74,56775.86,82.96
2022-11-18,6.84,5.02,104.64,93.89,57223.75,82.88
2022-11-19,7.11,5.56,100.83,92.46,56787.33,83.43
2022-11-20,7.54,5.0,100.16,91.2,57888.28,82.43
2022-11-21,7.67,5.14,102.45,92.31,57926.13,82.63
2022-11-22,7.08,5.73,101.79,92.66,57531.41,82.61
2022-11-23,7.19,5.6,102.07,91.4,57357.78,82.72
2022-11-24,6.98,6.34,100.83,90.44,58022.26,82.44
2022-11-25,7.3,5.68,100.37,92.39,57227.1,83.41
2022-11-26,7.13,5.01,104.52,89.88,57459.04,82.33
2022-11-27,7.34,5.56,101.07,92.73,57603.89,82.86
2022-11-28,7.29,5.72,102.37,90.12,58007.53,83.05
2022-11-29,7.78,6.38,103.42,94.24,57923.35,83.1
2022-11-30,7.57,5.53,102.62,89.96,57767.79,82.68
2022-12-01,7.45,5.56,103.88,89.95,57776.51,82.81
2022-12-02,6.9,6.26,102.68,90.0,57215.27,83.48
2022-12-03,6.87,6.4,102.32,91.69,56811.45,82.59
2022-12-04,7.24,6.15,103.94,92.14,56610.81,83.19
2022-12-05,7.17,5.82,103.2,93.51,56793.58,83.11
2022-12-06,7.0,5.52,104.12,93.31,57303.65,83.27
2022-12-07,7.71,6.62,104.19,93.47,57365.61,82.92
2022-12-08,7.33,5.53,100.68,89.92,57359.83,82.39
2022-12-09,7.83,6.14,104.65,92.78,57295.26,83.0
2022-12-10,7.01,5.95,104.0,89.91,56792.2,82.56
2022-12-11,7.49,6.08,104.56,93.3,56956.15,82.9
2022-12-12,7.29,6.43,101.15,91.39,57322.98,82.58
2022-12-13,7.59,6.28,100.43,91.54,56667.58,82.5
2022-12-14,7.16,6.65,100.4,93.83,57583.57,83.3
2022-12-15,7.14,5.5,102.3,93.56,57290.07,82.87
2022-12-16,7.05,6.48,101.07,91.21,57302.1,83.21
2022-12-17,7.23,5.85,103.23,93.04,57089.08,83.47
2022-12-18,7.74,5.25,101.73,91.61,57162.96,83.52
2022-12-19,7.44,5.7,104.59,91.5,56910.61,82.49
2022-12-20,7.14,5.23,102.82,91.89,58172.62,83.58
2022-12-21,7.55,5.31,104.02,90.98,57990.89,83.2
2022-12-22,7.66,6.31,103.77,93.97,57274.62,83.26
2022-12-23,7.71,6.03,101.79,94.0,57484.07,83.49
2022-12-24,7.4,5.83,102.59,92.87,57862.06,82.83
2022-12-25,7.31,5.85,100.27,91.48,58057.54,83.11
2022-12-26,6.97,5.88,103.98,92.79,57752.3,82.48
2022-12-27,7.29,6.36,103.91,91.63,57206.53,82.88
2022-12-28,7.63,6.74,101.23,91.13,58062.19,82.46
2022-12-29,7.79,6.31,100.16,93.06,57752.32,83.02
2022-12-30,7.97,5.42,104.01,93.62,56956.18,83.17
2022-12-31,7.64,5.42,100.15,90.03,58273.57,82.67
2023-01-01,7.11,6.44,100.56,91.22,57580.2,83.37
2023-01-02,7.16,6.37,103.81,90.87,57672.77,83.39
2023-01-03,7.66,5.52,101.06,94.35,57064.37,83.58
2023-01-04,7.24,6.43,102.1,90.06,57513.87,82.55
2023-01-05,7.97,5.6,103.07,91.13,57486.26,82.86
2023-01-06,7.95,6.34,104.01,94.01,57114.78,82.85
2023-01-07,7.77,5.26,103.05,92.98,58243.86,82.8
2023-01-08,7.19,5.64,102.41,91.41,58290.67,82.82
2023-01-09,7.69,5.92,104.07,92.11,57829.04,82.69
2023-01-10,7.92,6.27,101.19,92.96,57698.72,82.66
2023-01-11,7.96,5.41,104.5,92.24,57451.88,82.71
2023-01-12,7.5,6.74,101.85,91.97,56815.46,82.64
2023-01-13,8.04,6.08,100.76,93.49,57178.19,83.22
2023-01-14,8.05,5.57,101.69,92.89,56775.06,83.51
2023-01-15,7.35,5.63,101.34,90.22,58333.75,83.33
2023-01-16,7.2,6.85,103.58,92.62,57730.66,82.71
2023-01-17,7.37,6.74,104.07,93.9,56872.76,83.34
2023-01-18,7.23,6.79,103.84,94.08,57731.98,83.44
2023-01-19,8.06,6.73,101.86,92.37,57944.29,82.62
2023-01-20,7.42,6.49,100.95,92.99,57099.93,83.3
2023-01-21,8.07,6.16,100.11,92.85,57837.04,82.62
2023-01-22,7.95,6.91,104.97,94.55,57205.16,83.18
2023-01-23,7.37,6.04,101.35,94.01,57873.4,82.98
2023-01-24,7.88,5.6,101.75,91.64,58001.31,83.54
2023-01-25,8.12,6.46,103.26,92.05,58206.99,82.86
2023-01-26,7.35,6.57,103.22,92.61,57843.78,83.53
2023-01-27,7.8,5.91,100.32,92.96,57657.91,82.73
2023-01-28,7.24,6.02,100.98,91.99,57969.46,82.73
2023-01-29,7.43,5.77,102.78,90.58,57748.7,83.23
2023-01-30,7.59,5.85,104.98,93.5,58289.46,83.19
2023-01-31,7.21,6.91,101.53,93.34,57950.51,83.03
2023-02-01,7.91,6.15,102.57,90.74,56945.27,82.94
2023-02-02,7.38,5.89,103.24,94.25,57469.23,83.26
2023-02-03,7.86,6.69,100.96,90.63,57214.39,83.34
2023-02-04,8.17,6.29,102.49,92.89,56965.41,83.4
2023-02-05,8.04,5.79,102.58,92.66,58028.66,82.69
2023-02-06,7.82,5.81,101.5,91.13,58206.82,83.14
2023-02-07,7.76,6.47,101.7,91.97,58517.32,82.96
2023-02-08,8.07,6.07,101.33,94.22,57353.67,83.1
2023-02-09,7.9,5.5,103.98,93.33,57998.27,83.18
2023-02-10,7.59,5.75,101.94,92.1,57378.7,82.99
2023-02-11,7.47,6.3,102.72,93.32,57330.09,83.29
2023-02-12,7.37,5.62,103.41,91.81,57894.22,82.59
2023-02-13,7.91,5.67,102.05,93.61,58320.95,82.93
2023-02-14,7.27,6.05,104.16,93.11,57700.16,82.84
2023-02-15,7.52,6.04,103.81,94.67,57272.66,83.56
2023-02-16,7.45,5.67,104.56,93.1,57382.57,83.68
2023-02-17,7.82,5.7,103.8,91.1,56944.41,83.08
2023-02-18,7.41,6.37,104.5,91.51,58304.29,83.3
2023-02-19,7.49,6.66,102.63,94.26,57161.45,83.71
2023-02-20,8.16,5.55,103.17,91.08,57923.27,82.6
2023-02-21,8.07,6.98,100.76,91.22,57402.49,83.49
2023-02-22,7.85,5.64,105.08,92.12,57537.98,82.89
2023-02-23,7.77,5.63,100.58,91.62,57561.41,83.38
2023-02-24,7.46,6.85,101.65,94.56,58101.11,82.91
2023-02-25,7.44,6.4,104.2,93.77,57864.32,83.52
2023-02-26,8.25,6.17,102.28,91.71,57343.79,82.98
2023-02-27,7.35,6.49,103.79,91.37,57261.5,83.3
2023-02-28,8.07,6.92,102.31,94.57,58283.26,83.09
2023-03-01,7.64,7.11,101.15,92.89,57572.09,83.44
2023-03-02,7.4,5.72,104.3,91.6,58427.69,83.11
2023-03-03,8.14,6.37,103.45,94.03,58034.92,82.86
2023-03-04,7.69,5.64,102.85,90.47,58064.19,82.98
2023-03-05,7.36,5.63,101.98,92.62,58615.71,83.24
2023-03-06,8.13,7.04,103.1,93.21,57482.37,83.49
2023-03-07,7.44,7.0,103.34,93.07,57528.69,82.89
2023-03-08,8.35,6.46,101.65,94.65,57995.49,83.15
2023-03-09,7.43,5.73,104.05,93.76,58641.79,83.34
2023-03-10,7.7,6.43,103.37,92.79,58099.34,83.24
